"","Data.set","Source","Predation.Parasitism","Dim","Field","Habitat","Fresh_Marine","Predator_Cellularity","Pred_Vert.Invert","Pred_Major_Grouping_1","Pred_Major_Grouping_2","Predator_Scientific_Name","Predator_Type","Trophic_Level_Predator","Prey_Cellularity","Prey_Vert.Invert","Prey_Major_Group_1","Prey_Major_Group_2","Prey","Prey_scientific_name","Prey_type","Trophic_Level_prey","Data_type","Prey_Replaced","Hours_starved","Temp_C","Interference","Pred_per_arena","X2D_Arena_Size_cm2","X3D_arena_size_cm3","Pred_mass_mg","Pred_Mass_Source","Pred_Mass_ID","Prey_mass_mg","Prey_Mass_Source","Prey_Mass_ID","Units_a","R2_Mean","Fitted_a","CI_a_low","CI_a_hi","Fitted_h_day","CI_h_low","CI_h_hi","Notes.1","Include_Biotic_Prey","PreyAbundanceGroup","Mass_g","PredMass_g","PreyAbundance_10","PreyAbundance_20","PreyAbundance_30","PreyAbundance_40","PreyAbundance_50","PreyAbundance_60","PreyAbundance_70","PreyAbundance_80","PreyAbundance_90","frac_10","frac_20","frac_30","frac_40","frac_50","frac_60","frac_70","frac_80","frac_90"
"1613",1893,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage III",2,"Unicell","Algae","Algae","Diatom","","Porosira glacialis","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.206,"Original species length","8",6.73e-05,"Alternate species length","1","m^3 per pred per day","107.05",5.4e-06,3.13e-06,9.73e-06,0.00112,2.08e-10,0.00244,"",1,"Prokaryote",6.73e-08,0.000206,162983082.124183,214396976.105801,264572527.498994,320271893.858253,382192873.885967,457369125.73954,559166312.460588,694458986.395069,961596472.178497,0.496404753130357,0.564587540960652,0.615404532446944,0.659517025165298,0.698022272482414,0.734478155369551,0.771785257131621,0.807695560215602,0.853280690642896
"1614",1894,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage III",2,"Unicell","Algae","Algae","Haptophyte","","Phaeocystis pouchetii","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.206,"Original species length","8",0.000251,"Average species mass","4","m^3 per pred per day","405.09",4.47e-06,1.31e-06,1.32e-05,0.000137,5.02e-06,0.000216,"",1,"Prokaryote",2.51e-07,0.000206,66690039.6131713,90294671.7890066,111240267.712584,135528116.575993,162748856.95582,195898694.998985,233924261.094456,289081984.038829,398664442.553456,0.0392378281610956,0.0523981683086764,0.0637777335142331,0.0766356094188476,0.0906327858905528,0.10711607208427,0.125302880033602,0.150404644235041,0.196230719441839
"1615",1895,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage IV",2,"Unicell","Algae","Algae","Diatom","","Thalassiosira nordenskioeldii","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.458,"Original species length","7",1.68e-05,"Alternate species length","1","m^3 per pred per day","224.35",2.97e-05,1.3e-05,7.76e-05,0.000318,1.82e-11,0.000534,"",1,"Prokaryote",1.68e-08,0.000458,411393289.889196,564515320.363366,708465159.424505,865850073.259883,1030787903.75049,1228125288.61665,1476611502.50889,1825591186.89661,2446578697.42232,0.795310358308312,0.842062571707705,0.869980770911571,0.891039141857421,0.906850055372166,0.920629579515034,0.933092488579538,0.945181384864733,0.958518198994277
"1616",1896,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage IV",2,"Unicell","Algae","Algae","Diatom","","Porosira glacialis","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.458,"Original species length","7",6.73e-05,"Alternate species length","1","m^3 per pred per day","203.34",2.38e-05,7.45e-06,8.29e-05,0.00196,0.000757,0.00287,"",1,"Prokaryote",6.73e-08,0.000458,159173065.289412,219981881.329217,272805151.980603,328727983.564347,395204600.718883,477004958.792533,576867266.378936,719962499.242958,963402918.980502,0.881307119348528,0.911203576210417,0.927144579778997,0.938779894228242,0.948547771698022,0.956991702609751,0.964170168507427,0.971085572516345,0.978232865372652
"1617",1897,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage IV",2,"Unicell","Algae","Algae","Haptophyte","","Phaeocystis pouchetii","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.458,"Original species length","7",0.000251,"Average species mass","4","m^3 per pred per day","394.76",2.6e-05,2.97e-06,0.000165,8.08e-05,8.86e-07,0.000109,"",1,"Prokaryote",2.51e-07,0.000458,65724755.8442769,88378138.554601,108855742.47538,133676425.029245,158020287.92691,187905751.936911,226862454.454436,282538179.171216,389701698.640031,0.121322952881905,0.156591301771955,0.186121180897196,0.219254699198534,0.249231788182516,0.283026867443009,0.322765148635861,0.372472714968571,0.450152269703999
"1618",1898,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage V",2,"Unicell","Algae","Algae","Diatom","","Thalassiosira nordenskioeldii","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.893,"Original species length","6",1.68e-05,"Alternate species length","1","m^3 per pred per day","177.72",8.63e-05,3.9e-05,0.000388,0.000527,0.00026,0.000708,"",1,"Prokaryote",1.68e-08,0.000893,414232341.073737,571803841.331631,716393007.139167,866779705.493198,1043812547.7148,1236579621.09201,1496611339.6825,1899539114.14691,2572474021.69462,0.94959506767986,0.962970774599182,0.97022181082618,0.975260523806387,0.979369830449483,0.982529627732515,0.985521102763282,0.988557204046859,0.991525163433119
"1619",1899,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage V",2,"Unicell","Algae","Algae","Diatom","","Porosira glacialis","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.893,"Original species length","6",6.73e-05,"Alternate species length","1","m^3 per pred per day","205.43",3.16e-05,1.31e-05,0.000251,0.00286,0.00134,0.00492,"",1,"Prokaryote",6.73e-08,0.000893,166457016.468182,222199740.852945,276634346.335565,330463833.903015,395907270.866233,470018852.109971,562866580.380158,702801508.193473,931261456.564796,0.93767031322139,0.952565098686999,0.961540097096752,0.967601891475163,0.972811691568624,0.977000086178393,0.980720895856003,0.984500062482103,0.988257905992199
"1620",1900,"Hansen et al 1990 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Calanus finmarchicus","Stage V",2,"Unicell","Algae","Algae","Haptophyte","","Phaeocystis pouchetii","",1,"Raw data","N","",NA,"","",NA,"5.50E+02",0.893,"Original species length","6",0.000251,"Average species mass","4","m^3 per pred per day","242.68",8.65e-06,4.16e-06,0.000169,1.43e-05,3.29e-12,4.48e-05,"",1,"Prokaryote",2.51e-07,0.000893,64594369.4878895,87928539.4835564,110839804.056717,135770050.809388,162152469.449537,194450794.252956,235712502.461843,289862059.459384,402553357.29199,0.00792666646452167,0.0107592991039491,0.0135248987437159,0.0165166938164623,0.019663058893684,0.023487652105588,0.028330442631536,0.0346134402847178,0.0474320154587484
"1621",1901,"Isari and Saiz 2011 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Clausocalanus lividus","Adult female",3,"Unicell","Protozoan","Protozoan","Dinoflagellate","","Oxyrrhis marina","",2,"Mean","N","",16,"","8",NA,"6.25E+02",0.0648,"Original species length","1",2.69e-06,"Original species length","1","m^3 per pred per day","209.78",0.000167,9.34e-05,0.000264,2.77e-05,2.47e-05,3.21e-05,"",1,"Protist",2.69e-09,6.48e-05,17513534.0631156,42151398.8127521,81329551.1884537,148530956.177804,251537782.305784,405166572.087991,695996364.250246,1363641139.64738,3558739176.95768,0.0749441894688935,0.163171622100814,0.273373241718419,0.407263166060774,0.537804928606606,0.652084368130278,0.763011250042778,0.863164921034691,0.942734009716885
"1622",1902,"Isari and Saiz 2011 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Clausocalanus lividus","Adult female",3,"Unicell","Protozoan","Protozoan","Ciliate","","Strombidium sulcatum","",2,"Mean","N","",16,"","8",NA,"6.25E+02",0.0612,"Original species length","2",1.16e-05,"Original species length","1","m^3 per pred per day","72.88",1.29e-05,1.03e-05,1.86e-05,0.00123,2.21e-05,0.00306,"",1,"Protist",1.16e-08,6.12e-05,5609188.02605094,13524227.6510637,25262838.9298998,43508063.7904722,72388536.2051086,121366167.311587,208365926.812935,405448363.958576,1051950205.11251,0.081727186219366,0.176676171321235,0.286145385218968,0.408403899998777,0.534578253590566,0.658203439378245,0.767773574890998,0.865469329183785,0.943475021929035
"1623",1903,"Isari and Saiz 2011 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Clausocalanus lividus","Adult female",2,"Unicell","Protozoan","Protozoan","Dinoflagellate","","Heterocapsa sp.","",1,"Mean","N","",16,"","8",NA,"6.25E+02",0.0577,"Original species length","3",1.36e-06,"Original species length","1","m^3 per pred per day","183.16",8.22e-05,6.75e-05,0.000106,2.75e-05,2.63e-05,2.88e-05,"",1,"Protist",1.36e-09,5.77e-05,35350175.949975,82024654.7643677,151564636.151364,264725475.218213,429376120.559514,716373770.032488,1186476060.94464,2349289033.09729,5580030558.1165,0.0739961120361228,0.156414809302706,0.255183102594532,0.374379046464519,0.492541558647188,0.618227776965495,0.728410622749693,0.841535655381048,0.926544362954026
"1624",1904,"Isari and Saiz 2011 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Clausocalanus lividus","Adult female",2,"Unicell","Algae","Algae","Cryptophyte","","Rhodomonas salina","",1,"Mean","N","",16,"","8",NA,"6.25E+02",0.0577,"Original species length","3",1.69e-07,"Original species length","4","m^3 per pred per day","28.12",8.33e-10,4.71e-10,2.63e-09,0.05,0.00635,0.104,"",1,"Prokaryote",1.69e-10,5.77e-05,9650788317.16674,12931513736.7399,15804003566.3007,19234118429.2727,22785669284.4764,27389770239.4616,32941900990.3874,41063353692.2369,55728994672.4699,0.286710513402958,0.350057458584966,0.396949801720044,0.444784061575944,0.486922455247089,0.532881396499093,0.578420203076388,0.631035613694439,0.698896089359795
"1625",1905,"Isari and Saiz 2011 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Clausocalanus lividus","Adult female",3,"Unicell","Protozoan","Protozoan","Dinoflagellate","","Gyrodinium sp.","",2,"Mean","N","",16,"","8",NA,"6.25E+02",0.0451,"Original species length","4",2.29e-06,"Original species length","1","m^3 per pred per day","190.17",8.1e-05,5.36e-05,0.000139,2.62e-05,9.61e-06,4.9e-05,"",1,"Protist",2.29e-09,4.51e-05,19908123.0785127,50458105.2438672,94461344.4525096,164764809.75744,267547205.342746,463641075.179523,827785934.136812,1599876835.54366,3747254791.04148,0.0405363958471039,0.0967246983322786,0.166990058617118,0.259074784943551,0.362158935524355,0.495952267300688,0.63725102712153,0.772482102563718,0.88829841092539
"1626",1906,"Isari and Saiz 2011 J PLANK RES","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Clausocalanus lividus","Adult female",2,"Unicell","Algae","Algae","Diatom","","Thalassiosira weissflogii","",1,"Mean","N","",16,"","8",NA,"6.25E+02",0.0461,"Original species length","5",1.48e-06,"Original species length","4","m^3 per pred per day","224.72",0.000109,6.66e-05,0.000174,1.62e-05,1.32e-05,1.94e-05,"",1,"Prokaryote",1.48e-09,4.61e-05,2171075633.44604,2939437708.3452,3636628777.04067,4368265417.15193,5222915938.66321,6226585492.85676,7527203437.49867,9323169730.9637,12728999004.5018,0.793118515819851,0.8384610926307,0.865257422696897,0.88523533108947,0.90217776711231,0.916631267352982,0.930028513947018,0.942735588872716,0.95740487758602
"1627",1907,"Toscano and Griffen 2014 J ANIM ECOL","Predator",2,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Decapod","Panopeus herbstii","",NA,"Metazoan","Invertebrate","Mollusk","Bivalve","Scorched mussel","Brachidontes exustus","",NA,"Mean","N","24",28,"","1",1400,"",3450,"Original species length","1",397,"Original species length","1","m^2 per pred per day","515",0.2,0.162,0.265,0.11,0.0946,0.128,"",1,"Ectotherm",0.397,3.45,0.120100927566123,0.346369231872806,0.734998396552856,1.40029324032504,2.61262291390999,5.28564452503576,10.315448273517,22.7493737874889,72.9893248597214,0.002635257475377,0.007562495951102,0.0159126576119106,0.0298857765671561,0.0543535848395128,0.104170767337742,0.184964128269687,0.333549362563147,0.616235560912177
"1628",1908,"Toscano and Griffen 2014 J ANIM ECOL","Predator",2,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Decapod","Panopeus herbstii","",NA,"Metazoan","Invertebrate","Mollusk","Bivalve","Scorched mussel","Brachidontes exustus","",NA,"Mean","N","24",28,"","1",1400,"",3450,"Original species length","1",397,"Original species length","1","m^2 per pred per day","458.31",0.184,0.14,0.267,0.136,0.113,0.168,"predator cue",1,"Ectotherm",0.397,3.45,0.10770611113017,0.363258643274342,0.789445541156836,1.61845466419808,3.00663054698094,5.53281999541483,11.3279746513236,24.1457593502663,71.4164301166381,0.00268799294493188,0.00900829720754776,0.0193723821613596,0.0389237879497373,0.0699732786685858,0.121615255608214,0.220862945233031,0.376645454182546,0.641207304771444
"1629",1909,"Toscano and Griffen 2014 J ANIM ECOL","Predator",2,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Decapod","Panopeus herbstii","",NA,"Metazoan","Invertebrate","Mollusk","Bivalve","Scorched mussel","Brachidontes exustus","",NA,"Mean","N","24",28,"","1",1400,"",3450,"Original species length","1",397,"Original species length","1","m^2 per pred per day","362.2",0.0691,0.036,0.188,0.093,6.2e-08,0.19,"active crabs",1,"Ectotherm",0.397,3.45,0.114614816037334,0.32701330499991,0.765087923629827,1.5141565271008,2.91304618662999,6.03632153313667,11.7284530191043,26.7094536412376,82.7471827415653,0.000736007086875353,0.00209707862139197,0.00489262901028765,0.00963665534677354,0.0183761060070379,0.0373426465110483,0.0700879869747514,0.146497668241235,0.347155454008378
"1630",1910,"Toscano and Griffen 2014 J ANIM ECOL","Predator",2,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Decapod","Panopeus herbstii","",NA,"Metazoan","Invertebrate","Mollusk","Bivalve","Scorched mussel","Brachidontes exustus","",NA,"Mean","N","24",28,"","1",1400,"",3450,"Original species length","1",397,"Original species length","1","m^2 per pred per day","149.55",0.101,0.0701,0.149,0.216,0.169,0.274,"less active crabs",1,"Ectotherm",0.397,3.45,0.113311700481522,0.349605840555451,0.792018589607054,1.63693461406992,3.11094216886253,5.66125843377373,11.3999636236149,24.8727648047006,75.2385972024022,0.00246591230262321,0.00756927018614581,0.0169851958289999,0.0344800363583065,0.0635549472191619,0.109929108036064,0.199168164063825,0.351753994246761,0.621413637651655
"1631",1911,"Korstad et al 1989 HYDROBIOLOGIA","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Rotifer","Brachionidae","Brachionus plicatilis","",2,"Unicell","Algae","Algae","Haptophyte","","Isochrysis galbana","",1,"Mean","N","",21,"","",NA,"",0.00276,"Original species length","1",8.96e-08,"Alternate species length","4","m^3 per pred per day","650.63",0.000254,0.000159,0.000398,2.07e-05,1.83e-05,2.3e-05,"unclear what the experimental difference is between the 2 FRs",1,"Prokaryote",8.96e-11,2.76e-06,15114044798.5578,20056378125.7688,24950193086.326,30030433091.5832,36058479545.4836,43372549778.0434,51677468078.0969,63769549148.8331,84925787945.6709,0.987572487311254,0.990606132261914,0.992434737804718,0.993706496594674,0.994753087478564,0.995634030314,0.996333098295044,0.997026354252264,0.997765477016065
"1632",1912,"Korstad et al 1989 HYDROBIOLOGIA","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Rotifer","Brachionidae","Brachionus plicatilis","",2,"Unicell","Algae","Algae","Haptophyte","","Isochrysis galbana","",1,"Mean","N","",21,"","",NA,"",0.00276,"Original species length","1",8.96e-08,"Alternate species length","4","m^3 per pred per day","810.44",0.000182,0.000144,0.000238,6.4e-05,5.91e-05,6.89e-05,"unclear what the experimental difference is between the 2 FRs",1,"Prokaryote",8.96e-11,2.76e-06,15040965438.0645,20258582665.5946,25294340899.8025,30508104955.8682,36168427409.1613,43207879027.289,51724723318.3368,64226976635.7823,86005213298.5399,0.994324539798346,0.995780091644387,0.996617376003403,0.997193836368984,0.997631958196839,0.99801699583261,0.998342970553659,0.998665092942696,0.999002780969145
"1633",1913,"Lampert 1994 LIMNOL OCEANOGR","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia pulicaria","",2,"Unicell","Algae","Algae","Chlorophyte","","Scenedesmus acutus","",1,"Mean","N","",20,"","10",NA,"2.50E+02",0.555,"Original species length","1",5.24e-07,"Alternate species length","1","m^3 per pred per day","1549.26",0.000422,0.000349,0.000503,4.86e-07,4.5e-07,5.23e-07,"Some experimental details from Rothhaupt and Lampert 1992 J PLANK RES, according to first full paragraph on page 999 of Lampert. Raised at high food concentrations",1,"Prokaryote",5.24e-10,0.000555,4533566884.78949,6224844694.02797,7786582761.54971,9281847260.5378,11049109814.8345,13112044605.1081,15721710172.6984,19194387003.7299,25908913659.0852,0.48181113008503,0.560761189050237,0.614935249520336,0.655603813761597,0.693822941856183,0.728936719608445,0.763279823348513,0.797432055049284,0.841614541330122
"1634",1914,"Lampert 1994 LIMNOL OCEANOGR","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Crustacean","Cladoceran","Daphnia pulicaria","",2,"Unicell","Algae","Algae","Chlorophyte","","Scenedesmus acutus","",1,"Mean","N","",20,"","10",NA,"2.50E+02",0.555,"Original species length","1",5.24e-07,"Alternate species length","1","m^3 per pred per day","1544.15",0.000154,0.000104,0.000225,7.66e-07,6.69e-07,9.09e-07,"Some experimental details from Rothhaupt and Lampert 1992 J PLANK RES, according to first full paragraph on page 999 of Lampert. Raised at high food concentrations",1,"Prokaryote",5.24e-10,0.000555,4562713646.9747,6203498581.81329,7899614017.02523,9351540103.11992,11030995255.2603,13027781938.8113,15453291450.579,19540589986.0088,26616104588.7387,0.349904676017923,0.422562617380306,0.482366844119713,0.524521626649998,0.565455507382519,0.605804026197021,0.645758390830845,0.697436026637639,0.758439061917832
"1635",1915,"Libourel Houde and Roman 1987 MAR ECOL PROG SER","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Acartia tonsa","Adult, Stage V",2,"Unicell","Algae","Algae","Diatom","","Thalassiosira weissflogii","",1,"Raw data","N","",20,"","25",NA,"5.00E+02",0.0557,"Original species mass","4",3.14e-06,"Alternate species length","1","m^3 per pred per day","356.17",7.35e-06,5.17e-06,1.14e-05,7.54e-05,5.41e-05,9.5e-05,"",1,"Prokaryote",3.14e-09,5.57e-05,1321742876.64973,1791298489.62608,2251131751.4121,2689497458.83169,3249532614.00754,3842436547.66839,4601981552.98533,5723240649.68196,7698362932.97567,0.422798318307101,0.498173277958332,0.555072008865824,0.598473008383542,0.642966609212748,0.680454001787365,0.718339386458143,0.760293175003671,0.810115372613492
"1636",1916,"Libourel Houde and Roman 1987 MAR ECOL PROG SER","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Acartia tonsa","Adult, Stage V",2,"Unicell","Algae","Algae","Diatom","","Thalassiosira weissflogii","",1,"Raw data","N","",20,"","25",NA,"5.00E+02",0.0557,"Original species mass","4",3.14e-06,"Alternate species length","1","m^3 per pred per day","475.9",1.31e-06,2.88e-07,3.16e-06,0.000109,2.94e-05,0.000177,"",1,"Prokaryote",3.14e-09,5.57e-05,1328862176.25762,1795226010.73305,2224385418.45313,2664865765.86885,3182871719.30438,3744322173.88732,4541854505.88671,5718153811.49701,7828398923.66208,0.159486036910725,0.204037327759799,0.241055839598018,0.275633264915363,0.31247012600169,0.348386374047015,0.393399484516735,0.449489319047031,0.527815688921825
"1637",1917,"Libourel Houde and Roman 1987 MAR ECOL PROG SER","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Acartia tonsa","Adult, Stage V",2,"Unicell","Algae","Algae","Haptophyte","","Hymenomonas carterae","",1,"Raw data","N","",20,"","25",NA,"5.00E+02",0.0557,"Original species mass","4",1.06e-07,"Alternate species mass","1","m^3 per pred per day","404.52",4.99e-06,3.74e-06,6.76e-06,4.25e-05,2.45e-05,5.05e-05,"",1,"Prokaryote",1.06e-10,5.57e-05,13307820492.6859,17960440587.6159,22162056226.7607,27022778175.5481,32303036611.2101,38490104985.9428,45818807227.0082,56734571123.7266,77033133885.2952,0.738374407184351,0.792054849905317,0.824561959810187,0.851430479673373,0.87262227973127,0.890862924119007,0.906690510101178,0.923265714040663,0.942319234679377
"1638",1918,"Libourel Houde and Roman 1987 MAR ECOL PROG SER","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Acartia tonsa","Adult, Stage V",2,"Unicell","Protozoan","Protozoan","Dinoflagellate","","Amphidinium cartarae","",1,"Raw data","N","",20,"","25",NA,"5.00E+02",0.0557,"Original species mass","4",1.33e-06,"Alternate species length","3","m^3 per pred per day","193.45",3.01e-06,1.19e-06,1.48e-05,0.000339,9.1e-05,0.000561,"",1,"Protist",1.33e-09,5.57e-05,31384896.3336504,78211410.101421,142607185.754109,251233212.872658,399535321.221191,655243870.849133,1193233034.87761,2184449140.09159,5223862131.11249,0.0310310695085612,0.0739078411775911,0.127030159445103,0.20404717057973,0.289612207088871,0.400696735607156,0.54905453665119,0.690305642934866,0.84203151715051
"1639",1919,"Libourel Houde and Roman 1987 MAR ECOL PROG SER","Predator",3,"","Aquatic","Marine","Metazoan","Invertebrate","Crustacean","Copepod","Acartia tonsa","Adult, Stage V",2,"Unicell","Protozoan","Protozoan","Dinoflagellate","","Amphidinium cartarae","",1,"Raw data","N","",20,"","25",NA,"5.00E+02",0.0557,"Original species mass","4",1.33e-06,"Alternate species length","3","m^3 per pred per day","433.97",1.19e-05,7.79e-06,2.45e-05,6.69e-05,5.01e-05,9.01e-05,"",1,"Protist",1.33e-09,5.57e-05,33737085.4590122,78003836.9163286,152571257.497654,255945076.137976,428197448.355965,714622640.56311,1257490446.66915,2315175250.97219,5591449255.78501,0.026155924021462,0.0584687467955017,0.10830803088481,0.169269921749813,0.254227933207057,0.362618152662663,0.500275028509823,0.64827548031839,0.816561175086861
"1640",1921,"Moore 1988 LIMNO OCEANO","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Diptera","Chaoborus punctipennis","2nd instar",NA,"Metazoan","Invertebrate","Rotifer","Synchaetidae","","Synchaeta pectinata","",NA,"Mean","N","2",20,"","2",NA,"1.00E+02",3.56,"% adult mass","2",0.00959,"Original species length","1","m^3 per pred per day","149.07",0.00208,0.000492,0.00768,0.00884,0.00524,0.0125,"",1,"Ectotherm",9.59e-06,0.00356,400.744549429729,1190.39381971083,2686.99727866254,5392.4147473036,9886.42125460236,18405.736654672,35798.4128882448,84297.564944251,239982.462654543,0.00731467150892249,0.0214191859027951,0.0470802907402729,0.0902072341263683,0.153821396861519,0.252855936338787,0.396948284822317,0.607842550732369,0.815246096708011
"1641",1922,"Moore 1988 LIMNO OCEANO","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Diptera","Chaoborus punctipennis","2nd instar",NA,"Metazoan","Invertebrate","Rotifer","Brachionidae","","Keratella testudo","",NA,"Mean","N","2",20,"","2",NA,"1.00E+02",3.56,"% adult mass","2",0.00198,"Original species length","1","m^3 per pred per day","139.2",0.000307,0.00011,0.00108,0.0104,7.06e-09,0.0278,"",1,"Ectotherm",1.98e-06,0.00356,1254.39382505693,3739.68614026952,8397.5456051512,17777.0018788686,33611.5726538431,65819.7545799086,126024.365771246,288017.022325201,850592.20603304,0.00398905233593095,0.0117991867934732,0.0261115879728918,0.0537099217530501,0.0969146325501496,0.173655688819102,0.286921728435524,0.47905291268236,0.730876834159963
"1642",1923,"Moore 1988 LIMNO OCEANO","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Insect","Diptera","Chaoborus punctipennis","2nd instar",NA,"Metazoan","Invertebrate","Rotifer","Brachionidae","","Keratella cochlearis","",NA,"Mean","N","2",20,"","2",NA,"1.00E+02",3.56,"% adult mass","2",0.00204,"Original species length","1","m^3 per pred per day","133.57",0.000327,0.000153,0.000802,0.0191,0.0142,0.0314,"",1,"Ectotherm",2.04e-06,0.00356,1291.26466649702,3736.52767683961,8389.16383914192,16992.6001809672,34669.8685365082,67242.4467558569,135607.093079418,290288.094230433,893138.314609457,0.00800033025030041,0.022805024781964,0.0497875235208448,0.0959476891710438,0.177994990281411,0.295762819531075,0.458570115876438,0.644514258701228,0.847984440246197
"1643",1924,"Muschiol et al 2008 AFH","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Crustacean","Copepod","Eucyclops subterraneus","",NA,"Metazoan","Invertebrate","Nematode","","Nematode","Panagrolaimus sp","",NA,"Raw data","N","24",20,"","1",NA,"1.50E+00",5.41,"Original species mass","1",0.00024,"Original species mass","2","m^3 per pred per day","375.81",6.87e-05,3.68e-05,0.000116,0.000628,0.000358,0.000883,"",1,"Ectotherm",2.4e-07,0.00541,6224.02747183287,18436.1321967564,42811.6057097344,89558.5706447897,172192.601825426,323952.598066324,612385.610910048,1359418.692414,4110156.09497465,0.000268454864267416,0.000794768952934201,0.00184364149998018,0.00384900705038624,0.00737422555008179,0.0137838318418178,0.0257404439331587,0.0554009392291299,0.150618257261785
"1644",1925,"Muschiol et al 2008 AFH","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Crustacean","Copepod","Eucyclops subterraneus","",NA,"Metazoan","Invertebrate","Nematode","","Nematode","Poikilolaimus sp.","",NA,"Raw data","N","24",20,"","1",NA,"1.50E+00",5.41,"Original species mass","1",0.00018,"Original species mass","1","m^3 per pred per day","417.85",7.82e-05,5.02e-05,0.000131,0.000439,0.000262,0.000641,"",1,"Ectotherm",1.8e-07,0.00541,7776.60942026152,24746.7739225034,56209.5712021789,108932.682168207,222762.143686706,396723.469474722,810633.161682973,1744001.56980819,5360665.67323643,0.000266898192413107,0.000848830673778458,0.00192594690831769,0.00372570440952077,0.00758934126494491,0.0134364406012316,0.0270753965075357,0.0564891504494324,0.155427219086168
"1645",1926,"Nandini and Sarma 1999 FRESH BIOL","Predator",3,"","Aquatic","Fresh","Metazoan","Invertebrate","Rotifer","Asplanchnidae","Asplanchna sieboldi","",3,"Metazoan","Invertebrate","Rotifer","Brachionidae","","Brachionus calyciflorus","",2,"Mean","N","0.5",NA,"","2",NA,"2.00E+01",0.0552,"Alternate species length","1",2e-04,"Alternate species mass","1","m^3 per pred per day","287.1",0.00021,0.000137,0.000295,0.0027,0.00224,0.00314,"",1,"Ectotherm",2e-07,5.52e-05,7803.63077040164,24790.4559999755,56795.7324311517,112430.897918782,211209.878091878,367787.976372647,725724.147134982,1669380.60837566,4906004.19347205,0.00440516728529816,0.0138613507916731,0.0311984896999285,0.0599280092613346,0.106948300151269,0.172552427164454,0.291526597171958,0.486267626693319,0.735568965703092
